modelo;variavel_codificada
classifier;ano_processo
classifier;log_hectares
classifier;regime=Lavra-Concessão
classifier;regime=Pesquisa
classifier;uf=Acre
classifier;uf=Alagoas
classifier;uf=Amapá
classifier;uf=Amazonas
classifier;uf=Bahia
classifier;uf=Ceará
classifier;uf=Distrito Federal
classifier;uf=Espírito Santo
classifier;uf=Goiás
classifier;uf=Maranhão
classifier;uf=Mato Grosso
classifier;uf=Mato Grosso do Sul
classifier;uf=Minas Gerais
classifier;uf=Paraná
classifier;uf=Paraíba
classifier;uf=Pará
classifier;uf=Pernambuco
classifier;uf=Piauí
classifier;uf=Rio Grande do Norte
classifier;uf=Rio Grande do Sul
classifier;uf=Rio de Janeiro
classifier;uf=Rondônia
classifier;uf=Roraima
classifier;uf=Santa Catarina
classifier;uf=Sergipe
classifier;uf=São Paulo
classifier;uf=Tocantins
regressor;ano_processo
regressor;dias_ultimo_evento
regressor;evento_1
regressor;evento_100
regressor;evento_1005
regressor;evento_1007
regressor;evento_1008
regressor;evento_101
regressor;evento_1010
regressor;evento_1016
regressor;evento_1017
regressor;evento_1021
regressor;evento_1022
regressor;evento_1023
regressor;evento_1024
regressor;evento_1025
regressor;evento_1026
regressor;evento_1027
regressor;evento_1029
regressor;evento_1030
regressor;evento_1034
regressor;evento_1035
regressor;evento_104
regressor;evento_1041
regressor;evento_1042
regressor;evento_1043
regressor;evento_1044
regressor;evento_1045
regressor;evento_105
regressor;evento_1054
regressor;evento_1055
regressor;evento_1057
regressor;evento_1058
regressor;evento_1059
regressor;evento_106
regressor;evento_1062
regressor;evento_1064
regressor;evento_107
regressor;evento_1078
regressor;evento_108
regressor;evento_109
regressor;evento_1090
regressor;evento_1116
regressor;evento_1119
regressor;evento_114
regressor;evento_1147
regressor;evento_1149
regressor;evento_115
regressor;evento_1150
regressor;evento_1151
regressor;evento_1152
regressor;evento_1153
regressor;evento_1154
regressor;evento_1155
regressor;evento_1156
regressor;evento_1159
regressor;evento_1160
regressor;evento_1161
regressor;evento_1162
regressor;evento_1165
regressor;evento_1166
regressor;evento_1167
regressor;evento_1169
regressor;evento_1170
regressor;evento_1171
regressor;evento_1172
regressor;evento_1173
regressor;evento_1175
regressor;evento_1176
regressor;evento_1177
regressor;evento_1178
regressor;evento_1179
regressor;evento_118
regressor;evento_1180
regressor;evento_1182
regressor;evento_119
regressor;evento_1191
regressor;evento_1192
regressor;evento_1193
regressor;evento_1194
regressor;evento_1202
regressor;evento_1203
regressor;evento_1205
regressor;evento_1207
regressor;evento_1208
regressor;evento_1209
regressor;evento_121
regressor;evento_1210
regressor;evento_1215
regressor;evento_122
regressor;evento_124
regressor;evento_125
regressor;evento_1273
regressor;evento_1274
regressor;evento_1275
regressor;evento_1277
regressor;evento_1280
regressor;evento_1281
regressor;evento_1282
regressor;evento_1283
regressor;evento_1284
regressor;evento_1286
regressor;evento_1287
regressor;evento_1288
regressor;evento_1289
regressor;evento_1291
regressor;evento_1293
regressor;evento_130
regressor;evento_1305
regressor;evento_1306
regressor;evento_131
regressor;evento_1319
regressor;evento_132
regressor;evento_1320
regressor;evento_133
regressor;evento_1338
regressor;evento_134
regressor;evento_1340
regressor;evento_1341
regressor;evento_1342
regressor;evento_1343
regressor;evento_1348
regressor;evento_1349
regressor;evento_135
regressor;evento_1350
regressor;evento_1351
regressor;evento_1356
regressor;evento_1359
regressor;evento_136
regressor;evento_1362
regressor;evento_1363
regressor;evento_1364
regressor;evento_1368
regressor;evento_137
regressor;evento_1371
regressor;evento_138
regressor;evento_1386
regressor;evento_1387
regressor;evento_1388
regressor;evento_139
regressor;evento_1390
regressor;evento_1391
regressor;evento_1396
regressor;evento_1397
regressor;evento_1398
regressor;evento_140
regressor;evento_1400
regressor;evento_1401
regressor;evento_1404
regressor;evento_1407
regressor;evento_1409
regressor;evento_1415
regressor;evento_1417
regressor;evento_143
regressor;evento_149
regressor;evento_150
regressor;evento_151
regressor;evento_1511
regressor;evento_1513
regressor;evento_1522
regressor;evento_1523
regressor;evento_1524
regressor;evento_1531
regressor;evento_1533
regressor;evento_154
regressor;evento_155
regressor;evento_1550
regressor;evento_1551
regressor;evento_1553
regressor;evento_156
regressor;evento_157
regressor;evento_158
regressor;evento_159
regressor;evento_162
regressor;evento_163
regressor;evento_165
regressor;evento_1664
regressor;evento_1666
regressor;evento_1669
regressor;evento_167
regressor;evento_1670
regressor;evento_1675
regressor;evento_1679
regressor;evento_1680
regressor;evento_1691
regressor;evento_1692
regressor;evento_1693
regressor;evento_1694
regressor;evento_170
regressor;evento_1701
regressor;evento_1704
regressor;evento_1709
regressor;evento_1713
regressor;evento_1714
regressor;evento_1724
regressor;evento_1726
regressor;evento_1727
