ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
1;850.597/2018;2618;0.8987202311130693;1;8
2;300.119/2018;3601;0.8987202311130693;1;8
3;814.553/1974;4768;0.8893667975462517;1;8
4;850.517/2019;1511;0.8881096876856016;1;8
5;850.340/2018;2610;0.8881096876856016;1;8
6;300.575/2019;4571;0.8873912090425612;1;8
7;890.090/1980;3484;0.8829336659696833;1;8
8;830.421/1980;4585;0.8799468425230635;1;8
9;850.138/2018;1499;0.8751597785105381;1;8
10;850.236/2018;1504;0.8751597785105381;1;8
11;850.084/2018;3424;0.8751597785105381;1;8
12;815.996/1973;4838;0.874439545392418;1;8
13;800.936/1976;3486;0.8732292484633138;1;8
14;750.201/1942;3182;0.8708965040268781;1;8
15;805.010/1974;4670;0.8687300866983354;0;8
16;830.551/1980;4897;0.8664801482015974;1;8
17;850.113/2019;2598;0.8650889022133547;1;8
18;800.691/1972;4582;0.8570517666542369;1;8
19;870.072/1978;4672;0.8570517666542369;1;8
20;821.412/1971;2500;0.8569900888964538;1;8
21;300.869/2019;3614;0.8559473596004182;1;8
22;820.149/1980;4583;0.8551158075066058;1;8
23;803.127/1975;643;0.8511577240131721;1;8
24;801.071/1976;606;0.849289265537245;1;8
25;806.091/1975;4893;0.8479930215850917;0;8
26;850.323/2018;2608;0.8474990588499268;1;8
27;807.751/1973;3;0.846117789725573;1;8
28;850.583/2017;1515;0.8440996506403919;1;8
29;830.768/1982;4724;0.8412494330406014;0;8
30;818.362/1970;4666;0.8393515320402648;1;8
31;808.915/1973;4668;0.8393515320402648;1;8
32;808.916/1973;4728;0.8393515320402648;1;8
33;890.181/1981;4613;0.8385197638142504;1;8
34;850.748/2017;1520;0.8288564995671063;1;8
35;866.933/2017;2778;0.8288564995671063;1;8
36;864.223/2017;3423;0.8288564995671063;1;8
37;850.853/2017;2620;0.827831299777822;1;8
38;866.930/2017;2774;0.827831299777822;1;8
39;864.544/2005;1875;0.8234920547839313;1;8
40;802.896/1978;2;0.8217112396877178;1;8
41;850.301/2019;3426;0.8216112981993667;1;8
42;850.325/2018;2609;0.8211427098633329;1;8
43;850.445/2016;3019;0.8202004837307576;1;8
44;850.508/2016;3422;0.8202004837307576;1;8
45;850.782/2017;1521;0.8177901086419707;1;8
46;866.929/2017;2773;0.8177901086419707;1;8
